aggregation,formula,dimension,layers,training_mask,testing_mask,total_graphs,total_positive,total_negative,tries,train_total_correct,train_ratio_correct,train_total_positive_correct,train_ratio_positive_correct,train_total_negative_correct,train_ratio_negative_correct,test_total_correct,test_ratio_correct,test_total_positive_correct,test_ratio_positive_correct,test_total_negative_correct,test_ratio_negative_correct,accuracies_by_neighbor_ranges,num_epochs,progress
mean,psi_0,1,1,"[7084, 7084, 7084, 7084, 7084, 7084, 7084, 7084, 7084, 7084, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7084, 7084, 7084, 7084, 7084, 7084, 7084, 7084, 7084, 7084, 7084]",77924,36688,41236,1,70840,1.0,35222,1.0,35618,1.0,77924,1.0,36688,1.0,41236,1.0,"  [  0-  4] root neighbors | graphs=35420 | accuracy=1.0000 / 1.0000 / 1.0000 | accuracy_on_positive=1.0000 / 1.0000 / 1.0000 | accuracy_on_negative=1.0000 / 1.0000 / 1.0000
  [  5-  9] root neighbors | graphs=35420 | accuracy=1.0000 / 1.0000 / 1.0000 | accuracy_on_positive=1.0000 / 1.0000 / 1.0000 | accuracy_on_negative=1.0000 / 1.0000 / 1.0000
  [ 10- 14] root neighbors | graphs=35420 | accuracy=1.0000 / 1.0000 / 1.0000 | accuracy_on_positive=1.0000 / 1.0000 / 1.0000 | accuracy_on_negative=1.0000 / 1.0000 / 1.0000
  [ 15- 19] root neighbors | graphs=35420 | accuracy=1.0000 / 1.0000 / 1.0000 | accuracy_on_positive=1.0000 / 1.0000 / 1.0000 | accuracy_on_negative=1.0000 / 1.0000 / 1.0000
  [ 20- 24] root neighbors | graphs=7084 | accuracy=1.0000 / 1.0000 / 1.0000 | accuracy_on_positive=1.0000 / 1.0000 / 1.0000 | accuracy_on_negative=1.0000 / 1.0000 / 1.0000
",1,"Epoch 001
Loss: 0.1327 
Train Acc: 70840/70840 (100.00%) 
Test Acc:  77924/77924 (100.00%) 
Train Positive Acc: 35222/35222 (100.00%) 
Test Positive Acc:  36688/36688 (100.00%) 
Train Negative Acc: 35618/35618 (100.00%) 
Test Negative Acc:  41236/41236 (100.00%) 

"
max,psi_1,4,4,"[7084, 7084, 7084, 7084, 7084, 7084, 7084, 7084, 7084, 7084, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7084, 7084, 7084, 7084, 7084, 7084, 7084, 7084, 7084, 7084, 7084]",77924,64682,13242,1,70840,1.0,36790,1.0,34050,1.0,77924,1.0,64682,1.0,13242,1.0,"  [  0-  4] root neighbors | graphs=35420 | accuracy=1.0000 / 1.0000 / 1.0000 | accuracy_on_positive=1.0000 / 1.0000 / 1.0000 | accuracy_on_negative=1.0000 / 1.0000 / 1.0000
  [  5-  9] root neighbors | graphs=35420 | accuracy=1.0000 / 1.0000 / 1.0000 | accuracy_on_positive=1.0000 / 1.0000 / 1.0000 | accuracy_on_negative=1.0000 / 1.0000 / 1.0000
  [ 10- 14] root neighbors | graphs=35420 | accuracy=1.0000 / 1.0000 / 1.0000 | accuracy_on_positive=1.0000 / 1.0000 / 1.0000 | accuracy_on_negative=1.0000 / 1.0000 / 1.0000
  [ 15- 19] root neighbors | graphs=35420 | accuracy=1.0000 / 1.0000 / 1.0000 | accuracy_on_positive=1.0000 / 1.0000 / 1.0000 | accuracy_on_negative=1.0000 / 1.0000 / 1.0000
  [ 20- 24] root neighbors | graphs=7084 | accuracy=1.0000 / 1.0000 / 1.0000 | accuracy_on_positive=1.0000 / 1.0000 / 1.0000 | accuracy_on_negative=1.0000 / 1.0000 / 1.0000
",2,"Epoch 001
Loss: 0.6458 
Train Acc: 34050/70840 (48.07%) 
Test Acc:  13242/77924 (16.99%) 
Train Positive Acc: 0/36790 (0.00%) 
Test Positive Acc:  0/64682 (0.00%) 
Train Negative Acc: 34050/34050 (100.00%) 
Test Negative Acc:  13242/13242 (100.00%) 

Epoch 002
Loss: 0.1461 
Train Acc: 70840/70840 (100.00%) 
Test Acc:  77924/77924 (100.00%) 
Train Positive Acc: 36790/36790 (100.00%) 
Test Positive Acc:  64682/64682 (100.00%) 
Train Negative Acc: 34050/34050 (100.00%) 
Test Negative Acc:  13242/13242 (100.00%) 

"
sum,psi_1,4,4,"[7084, 7084, 7084, 7084, 7084, 7084, 7084, 7084, 7084, 7084, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7084, 7084, 7084, 7084, 7084, 7084, 7084, 7084, 7084, 7084, 7084]",77924,64682,13242,1,70840,1.0,36790,1.0,34050,1.0,76213,0.978,62971,0.9735,13242,1.0,"  [  0-  4] root neighbors | graphs=35420 | accuracy=1.0000 / 1.0000 / 1.0000 | accuracy_on_positive=1.0000 / 1.0000 / 1.0000 | accuracy_on_negative=1.0000 / 1.0000 / 1.0000
  [  5-  9] root neighbors | graphs=35420 | accuracy=1.0000 / 1.0000 / 1.0000 | accuracy_on_positive=1.0000 / 1.0000 / 1.0000 | accuracy_on_negative=1.0000 / 1.0000 / 1.0000
  [ 10- 14] root neighbors | graphs=35420 | accuracy=0.9923 / 0.9904 / 1.0000 | accuracy_on_positive=0.9923 / 0.9904 / 1.0000 | accuracy_on_negative=0.9923 / 0.9904 / 1.0000
  [ 15- 19] root neighbors | graphs=35420 | accuracy=0.9695 / 0.9642 / 1.0000 | accuracy_on_positive=0.9695 / 0.9642 / 1.0000 | accuracy_on_negative=0.9695 / 0.9642 / 1.0000
  [ 20- 24] root neighbors | graphs=7084 | accuracy=0.9497 / 0.9422 / 1.0000 | accuracy_on_positive=0.9497 / 0.9422 / 1.0000 | accuracy_on_negative=0.9497 / 0.9422 / 1.0000
",1,"Epoch 001
Loss: 0.2220 
Train Acc: 70840/70840 (100.00%) 
Test Acc:  76213/77924 (97.80%) 
Train Positive Acc: 36790/36790 (100.00%) 
Test Positive Acc:  62971/64682 (97.35%) 
Train Negative Acc: 34050/34050 (100.00%) 
Test Negative Acc:  13242/13242 (100.00%) 

"
mean,psi_1,4,4,"[7084, 7084, 7084, 7084, 7084, 7084, 7084, 7084, 7084, 7084, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7084, 7084, 7084, 7084, 7084, 7084, 7084, 7084, 7084, 7084, 7084]",77924,64682,13242,1,70824,0.9998,36774,0.9996,34050,1.0,70375,0.9031,57133,0.8833,13242,1.0,"  [  0-  4] root neighbors | graphs=35420 | accuracy=1.0000 / 1.0000 / 1.0000 | accuracy_on_positive=1.0000 / 1.0000 / 1.0000 | accuracy_on_negative=1.0000 / 1.0000 / 1.0000
  [  5-  9] root neighbors | graphs=35420 | accuracy=0.9995 / 0.9993 / 1.0000 | accuracy_on_positive=0.9995 / 0.9993 / 1.0000 | accuracy_on_negative=0.9995 / 0.9993 / 1.0000
  [ 10- 14] root neighbors | graphs=35420 | accuracy=0.9337 / 0.9171 / 1.0000 | accuracy_on_positive=0.9337 / 0.9171 / 1.0000 | accuracy_on_negative=0.9337 / 0.9171 / 1.0000
  [ 15- 19] root neighbors | graphs=35420 | accuracy=0.8778 / 0.8566 / 1.0000 | accuracy_on_positive=0.8778 / 0.8566 / 1.0000 | accuracy_on_negative=0.8778 / 0.8566 / 1.0000
  [ 20- 24] root neighbors | graphs=7084 | accuracy=0.8770 / 0.8586 / 1.0000 | accuracy_on_positive=0.8770 / 0.8586 / 1.0000 | accuracy_on_negative=0.8770 / 0.8586 / 1.0000
",5,"Epoch 001
Loss: 0.3778 
Train Acc: 69231/70840 (97.73%) 
Test Acc:  65590/77924 (84.17%) 
Train Positive Acc: 35181/36790 (95.63%) 
Test Positive Acc:  52348/64682 (80.93%) 
Train Negative Acc: 34050/34050 (100.00%) 
Test Negative Acc:  13242/13242 (100.00%) 

Epoch 002
Loss: 0.0765 
Train Acc: 70577/70840 (99.63%) 
Test Acc:  70118/77924 (89.98%) 
Train Positive Acc: 36527/36790 (99.29%) 
Test Positive Acc:  56876/64682 (87.93%) 
Train Negative Acc: 34050/34050 (100.00%) 
Test Negative Acc:  13242/13242 (100.00%) 

Epoch 003
Loss: 0.0368 
Train Acc: 70748/70840 (99.87%) 
Test Acc:  71547/77924 (91.82%) 
Train Positive Acc: 36698/36790 (99.75%) 
Test Positive Acc:  58305/64682 (90.14%) 
Train Negative Acc: 34050/34050 (100.00%) 
Test Negative Acc:  13242/13242 (100.00%) 

Epoch 004
Loss: 0.0506 
Train Acc: 70774/70840 (99.91%) 
Test Acc:  70957/77924 (91.06%) 
Train Positive Acc: 36724/36790 (99.82%) 
Test Positive Acc:  57715/64682 (89.23%) 
Train Negative Acc: 34050/34050 (100.00%) 
Test Negative Acc:  13242/13242 (100.00%) 

Epoch 005
Loss: 0.0180 
Train Acc: 70824/70840 (99.98%) 
Test Acc:  70375/77924 (90.31%) 
Train Positive Acc: 36774/36790 (99.96%) 
Test Positive Acc:  57133/64682 (88.33%) 
Train Negative Acc: 34050/34050 (100.00%) 
Test Negative Acc:  13242/13242 (100.00%) 

"
max,psi_2,7,7,"[7084, 7084, 7084, 7084, 7084, 7084, 7084, 7084, 7084, 7084, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7084, 7084, 7084, 7084, 7084, 7084, 7084, 7084, 7084, 7084, 7084]",77924,12336,65588,1,70840,1.0,16428,1.0,54412,1.0,77924,1.0,12336,1.0,65588,1.0,"  [  0-  4] root neighbors | graphs=35420 | accuracy=1.0000 / 1.0000 / 1.0000 | accuracy_on_positive=1.0000 / 1.0000 / 1.0000 | accuracy_on_negative=1.0000 / 1.0000 / 1.0000
  [  5-  9] root neighbors | graphs=35420 | accuracy=1.0000 / 1.0000 / 1.0000 | accuracy_on_positive=1.0000 / 1.0000 / 1.0000 | accuracy_on_negative=1.0000 / 1.0000 / 1.0000
  [ 10- 14] root neighbors | graphs=35420 | accuracy=1.0000 / 1.0000 / 1.0000 | accuracy_on_positive=1.0000 / 1.0000 / 1.0000 | accuracy_on_negative=1.0000 / 1.0000 / 1.0000
  [ 15- 19] root neighbors | graphs=35420 | accuracy=1.0000 / 1.0000 / 1.0000 | accuracy_on_positive=1.0000 / 1.0000 / 1.0000 | accuracy_on_negative=1.0000 / 1.0000 / 1.0000
  [ 20- 24] root neighbors | graphs=7084 | accuracy=1.0000 / 1.0000 / 1.0000 | accuracy_on_positive=1.0000 / 1.0000 / 1.0000 | accuracy_on_negative=1.0000 / 1.0000 / 1.0000
",2,"Epoch 001
Loss: 0.5442 
Train Acc: 54412/70840 (76.81%) 
Test Acc:  65588/77924 (84.17%) 
Train Positive Acc: 0/16428 (0.00%) 
Test Positive Acc:  0/12336 (0.00%) 
Train Negative Acc: 54412/54412 (100.00%) 
Test Negative Acc:  65588/65588 (100.00%) 

Epoch 002
Loss: 0.1989 
Train Acc: 70840/70840 (100.00%) 
Test Acc:  77924/77924 (100.00%) 
Train Positive Acc: 16428/16428 (100.00%) 
Test Positive Acc:  12336/12336 (100.00%) 
Train Negative Acc: 54412/54412 (100.00%) 
Test Negative Acc:  65588/65588 (100.00%) 

"
sum,psi_2,7,7,"[7084, 7084, 7084, 7084, 7084, 7084, 7084, 7084, 7084, 7084, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7084, 7084, 7084, 7084, 7084, 7084, 7084, 7084, 7084, 7084, 7084]",77924,12336,65588,1,70840,1.0,16428,1.0,54412,1.0,76335,0.9796,12336,1.0,63999,0.9758,"  [  0-  4] root neighbors | graphs=35420 | accuracy=1.0000 / 1.0000 / 1.0000 | accuracy_on_positive=1.0000 / 1.0000 / 1.0000 | accuracy_on_negative=1.0000 / 1.0000 / 1.0000
  [  5-  9] root neighbors | graphs=35420 | accuracy=1.0000 / 1.0000 / 1.0000 | accuracy_on_positive=1.0000 / 1.0000 / 1.0000 | accuracy_on_negative=1.0000 / 1.0000 / 1.0000
  [ 10- 14] root neighbors | graphs=35420 | accuracy=1.0000 / 1.0000 / 1.0000 | accuracy_on_positive=1.0000 / 1.0000 / 1.0000 | accuracy_on_negative=1.0000 / 1.0000 / 1.0000
  [ 15- 19] root neighbors | graphs=35420 | accuracy=0.9661 / 1.0000 / 0.9602 | accuracy_on_positive=0.9661 / 1.0000 / 0.9602 | accuracy_on_negative=0.9661 / 1.0000 / 0.9602
  [ 20- 24] root neighbors | graphs=7084 | accuracy=0.9452 / 1.0000 / 0.9379 | accuracy_on_positive=0.9452 / 1.0000 / 0.9379 | accuracy_on_negative=0.9452 / 1.0000 / 0.9379
",2,"Epoch 001
Loss: 0.3122 
Train Acc: 70709/70840 (99.82%) 
Test Acc:  71507/77924 (91.77%) 
Train Positive Acc: 16329/16428 (99.40%) 
Test Positive Acc:  9828/12336 (79.67%) 
Train Negative Acc: 54380/54412 (99.94%) 
Test Negative Acc:  61679/65588 (94.04%) 

Epoch 002
Loss: 0.0512 
Train Acc: 70840/70840 (100.00%) 
Test Acc:  76335/77924 (97.96%) 
Train Positive Acc: 16428/16428 (100.00%) 
Test Positive Acc:  12336/12336 (100.00%) 
Train Negative Acc: 54412/54412 (100.00%) 
Test Negative Acc:  63999/65588 (97.58%) 

"
mean,psi_2,7,7,"[7084, 7084, 7084, 7084, 7084, 7084, 7084, 7084, 7084, 7084, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7084, 7084, 7084, 7084, 7084, 7084, 7084, 7084, 7084, 7084, 7084]",77924,12336,65588,1,70840,1.0,16428,1.0,54412,1.0,74191,0.9521,12081,0.9793,62110,0.947,"  [  0-  4] root neighbors | graphs=35420 | accuracy=1.0000 / 1.0000 / 1.0000 | accuracy_on_positive=1.0000 / 1.0000 / 1.0000 | accuracy_on_negative=1.0000 / 1.0000 / 1.0000
  [  5-  9] root neighbors | graphs=35420 | accuracy=1.0000 / 1.0000 / 1.0000 | accuracy_on_positive=1.0000 / 1.0000 / 1.0000 | accuracy_on_negative=1.0000 / 1.0000 / 1.0000
  [ 10- 14] root neighbors | graphs=35420 | accuracy=0.9849 / 0.9916 / 0.9834 | accuracy_on_positive=0.9849 / 0.9916 / 0.9834 | accuracy_on_negative=0.9849 / 0.9916 / 0.9834
  [ 15- 19] root neighbors | graphs=35420 | accuracy=0.9251 / 0.9684 / 0.9177 | accuracy_on_positive=0.9251 / 0.9684 / 0.9177 | accuracy_on_negative=0.9251 / 0.9684 / 0.9177
  [ 20- 24] root neighbors | graphs=7084 | accuracy=0.9231 / 0.9560 / 0.9186 | accuracy_on_positive=0.9231 / 0.9560 / 0.9186 | accuracy_on_negative=0.9231 / 0.9560 / 0.9186
",4,"Epoch 001
Loss: 0.4866 
Train Acc: 63212/70840 (89.23%) 
Test Acc:  69386/77924 (89.04%) 
Train Positive Acc: 8800/16428 (53.57%) 
Test Positive Acc:  4475/12336 (36.28%) 
Train Negative Acc: 54412/54412 (100.00%) 
Test Negative Acc:  64911/65588 (98.97%) 

Epoch 002
Loss: 0.0823 
Train Acc: 70813/70840 (99.96%) 
Test Acc:  75156/77924 (96.45%) 
Train Positive Acc: 16401/16428 (99.84%) 
Test Positive Acc:  11182/12336 (90.65%) 
Train Negative Acc: 54412/54412 (100.00%) 
Test Negative Acc:  63974/65588 (97.54%) 

Epoch 003
Loss: 0.0981 
Train Acc: 70781/70840 (99.92%) 
Test Acc:  73445/77924 (94.25%) 
Train Positive Acc: 16369/16428 (99.64%) 
Test Positive Acc:  11116/12336 (90.11%) 
Train Negative Acc: 54412/54412 (100.00%) 
Test Negative Acc:  62329/65588 (95.03%) 

Epoch 004
Loss: 0.0198 
Train Acc: 70840/70840 (100.00%) 
Test Acc:  74191/77924 (95.21%) 
Train Positive Acc: 16428/16428 (100.00%) 
Test Positive Acc:  12081/12336 (97.93%) 
Train Negative Acc: 54412/54412 (100.00%) 
Test Negative Acc:  62110/65588 (94.70%) 

"
max,psi_3,2,2,"[7084, 7084, 7084, 7084, 7084, 7084, 7084, 7084, 7084, 7084, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7084, 7084, 7084, 7084, 7084, 7084, 7084, 7084, 7084, 7084, 7084]",77924,63714,14210,3(#018.txt),52766,0.7449,0,0.0,52766,1.0,14210,0.1824,0,0.0,14210,1.0,"  [  0-  4] root neighbors | graphs=35420 | accuracy=0.9713 / 0.0 / 1.0000 | accuracy_on_positive=0.9713 / 0.0 / 1.0000 | accuracy_on_negative=0.9713 / 0.0 / 1.0000
  [  5-  9] root neighbors | graphs=35420 | accuracy=0.5184 / 0.0 / 1.0000 | accuracy_on_positive=0.5184 / 0.0 / 1.0000 | accuracy_on_negative=0.5184 / 0.0 / 1.0000
  [ 10- 14] root neighbors | graphs=35420 | accuracy=0.2428 / 0.0 / 1.0000 | accuracy_on_positive=0.2428 / 0.0 / 1.0000 | accuracy_on_negative=0.2428 / 0.0 / 1.0000
  [ 15- 19] root neighbors | graphs=35420 | accuracy=0.1369 / 0.0 / 1.0000 | accuracy_on_positive=0.1369 / 0.0 / 1.0000 | accuracy_on_negative=0.1369 / 0.0 / 1.0000
  [ 20- 24] root neighbors | graphs=7084 | accuracy=0.1073 / 0.0 / 1.0000 | accuracy_on_positive=0.1073 / 0.0 / 1.0000 | accuracy_on_negative=0.1073 / 0.0 / 1.0000
",5,"Epoch 001
Loss: 0.5602 
Train Acc: 52766/70840 (74.49%) 
Test Acc:  14210/77924 (18.24%) 
Train Positive Acc: 0/18074 (0.00%) 
Test Positive Acc:  0/63714 (0.00%) 
Train Negative Acc: 52766/52766 (100.00%) 
Test Negative Acc:  14210/14210 (100.00%) 

Epoch 002
Loss: 0.5552 
Train Acc: 52766/70840 (74.49%) 
Test Acc:  14210/77924 (18.24%) 
Train Positive Acc: 0/18074 (0.00%) 
Test Positive Acc:  0/63714 (0.00%) 
Train Negative Acc: 52766/52766 (100.00%) 
Test Negative Acc:  14210/14210 (100.00%) 

Epoch 003
Loss: 0.5299 
Train Acc: 52766/70840 (74.49%) 
Test Acc:  14210/77924 (18.24%) 
Train Positive Acc: 0/18074 (0.00%) 
Test Positive Acc:  0/63714 (0.00%) 
Train Negative Acc: 52766/52766 (100.00%) 
Test Negative Acc:  14210/14210 (100.00%) 

Epoch 004
Loss: 0.5101 
Train Acc: 52766/70840 (74.49%) 
Test Acc:  14210/77924 (18.24%) 
Train Positive Acc: 0/18074 (0.00%) 
Test Positive Acc:  0/63714 (0.00%) 
Train Negative Acc: 52766/52766 (100.00%) 
Test Negative Acc:  14210/14210 (100.00%) 

Epoch 005
Loss: 0.4992 
Train Acc: 52766/70840 (74.49%) 
Test Acc:  14210/77924 (18.24%) 
Train Positive Acc: 0/18074 (0.00%) 
Test Positive Acc:  0/63714 (0.00%) 
Train Negative Acc: 52766/52766 (100.00%) 
Test Negative Acc:  14210/14210 (100.00%) 

"
sum,psi_3,2,2,"[7084, 7084, 7084, 7084, 7084, 7084, 7084, 7084, 7084, 7084, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7084, 7084, 7084, 7084, 7084, 7084, 7084, 7084, 7084, 7084, 7084]",77924,63714,14210,1,70702,0.9981,17936,0.9924,52766,1.0,77889,0.9996,63683,0.9995,14206,0.9997,"  [  0-  4] root neighbors | graphs=35420 | accuracy=0.9986 / 0.9498 / 1.0000 | accuracy_on_positive=0.9986 / 0.9498 / 1.0000 | accuracy_on_negative=0.9986 / 0.9498 / 1.0000
  [  5-  9] root neighbors | graphs=35420 | accuracy=0.9975 / 0.9949 / 1.0000 | accuracy_on_positive=0.9975 / 0.9949 / 1.0000 | accuracy_on_negative=0.9975 / 0.9949 / 1.0000
  [ 10- 14] root neighbors | graphs=35420 | accuracy=0.9994 / 0.9992 / 1.0000 | accuracy_on_positive=0.9994 / 0.9992 / 1.0000 | accuracy_on_negative=0.9994 / 0.9992 / 1.0000
  [ 15- 19] root neighbors | graphs=35420 | accuracy=0.9997 / 0.9997 / 1.0000 | accuracy_on_positive=0.9997 / 0.9997 / 1.0000 | accuracy_on_negative=0.9997 / 0.9997 / 1.0000
  [ 20- 24] root neighbors | graphs=7084 | accuracy=0.9993 / 0.9998 / 0.9947 | accuracy_on_positive=0.9993 / 0.9998 / 0.9947 | accuracy_on_negative=0.9993 / 0.9998 / 0.9947
",5,"Epoch 001
Loss: 0.2367 
Train Acc: 69189/70840 (97.67%) 
Test Acc:  73451/77924 (94.26%) 
Train Positive Acc: 16423/18074 (90.87%) 
Test Positive Acc:  59241/63714 (92.98%) 
Train Negative Acc: 52766/52766 (100.00%) 
Test Negative Acc:  14210/14210 (100.00%) 

Epoch 002
Loss: 0.0877 
Train Acc: 70357/70840 (99.32%) 
Test Acc:  75986/77924 (97.51%) 
Train Positive Acc: 17591/18074 (97.33%) 
Test Positive Acc:  61776/63714 (96.96%) 
Train Negative Acc: 52766/52766 (100.00%) 
Test Negative Acc:  14210/14210 (100.00%) 

Epoch 003
Loss: 0.0553 
Train Acc: 70813/70840 (99.96%) 
Test Acc:  77461/77924 (99.41%) 
Train Positive Acc: 18047/18074 (99.85%) 
Test Positive Acc:  63251/63714 (99.27%) 
Train Negative Acc: 52766/52766 (100.00%) 
Test Negative Acc:  14210/14210 (100.00%) 

Epoch 004
Loss: 0.0433 
Train Acc: 70702/70840 (99.81%) 
Test Acc:  77893/77924 (99.96%) 
Train Positive Acc: 17936/18074 (99.24%) 
Test Positive Acc:  63683/63714 (99.95%) 
Train Negative Acc: 52766/52766 (100.00%) 
Test Negative Acc:  14210/14210 (100.00%) 

Epoch 005
Loss: 0.0377 
Train Acc: 70702/70840 (99.81%) 
Test Acc:  77889/77924 (99.96%) 
Train Positive Acc: 17936/18074 (99.24%) 
Test Positive Acc:  63683/63714 (99.95%) 
Train Negative Acc: 52766/52766 (100.00%) 
Test Negative Acc:  14206/14210 (99.97%) 

"
mean,psi_3,2,2,"[7084, 7084, 7084, 7084, 7084, 7084, 7084, 7084, 7084, 7084, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7084, 7084, 7084, 7084, 7084, 7084, 7084, 7084, 7084, 7084, 7084]",77924,63714,14210,3(#019.txt),52766,0.7449,0,0.0,52766,1.0,14210,0.1824,0,0.0,14210,1.0,"  [  0-  4] root neighbors | graphs=35420 | accuracy=0.9713 / 0.0 / 1.0000 | accuracy_on_positive=0.9713 / 0.0 / 1.0000 | accuracy_on_negative=0.9713 / 0.0 / 1.0000
  [  5-  9] root neighbors | graphs=35420 | accuracy=0.5184 / 0.0 / 1.0000 | accuracy_on_positive=0.5184 / 0.0 / 1.0000 | accuracy_on_negative=0.5184 / 0.0 / 1.0000
  [ 10- 14] root neighbors | graphs=35420 | accuracy=0.2428 / 0.0 / 1.0000 | accuracy_on_positive=0.2428 / 0.0 / 1.0000 | accuracy_on_negative=0.2428 / 0.0 / 1.0000
  [ 15- 19] root neighbors | graphs=35420 | accuracy=0.1369 / 0.0 / 1.0000 | accuracy_on_positive=0.1369 / 0.0 / 1.0000 | accuracy_on_negative=0.1369 / 0.0 / 1.0000
  [ 20- 24] root neighbors | graphs=7084 | accuracy=0.1073 / 0.0 / 1.0000 | accuracy_on_positive=0.1073 / 0.0 / 1.0000 | accuracy_on_negative=0.1073 / 0.0 / 1.0000
",5,"Epoch 001
Loss: 0.5231 
Train Acc: 52766/70840 (74.49%) 
Test Acc:  14210/77924 (18.24%) 
Train Positive Acc: 0/18074 (0.00%) 
Test Positive Acc:  0/63714 (0.00%) 
Train Negative Acc: 52766/52766 (100.00%) 
Test Negative Acc:  14210/14210 (100.00%) 

Epoch 002
Loss: 0.4759 
Train Acc: 52766/70840 (74.49%) 
Test Acc:  14210/77924 (18.24%) 
Train Positive Acc: 0/18074 (0.00%) 
Test Positive Acc:  0/63714 (0.00%) 
Train Negative Acc: 52766/52766 (100.00%) 
Test Negative Acc:  14210/14210 (100.00%) 

Epoch 003
Loss: 0.4642 
Train Acc: 52766/70840 (74.49%) 
Test Acc:  14210/77924 (18.24%) 
Train Positive Acc: 0/18074 (0.00%) 
Test Positive Acc:  0/63714 (0.00%) 
Train Negative Acc: 52766/52766 (100.00%) 
Test Negative Acc:  14210/14210 (100.00%) 

Epoch 004
Loss: 0.4535 
Train Acc: 52766/70840 (74.49%) 
Test Acc:  14210/77924 (18.24%) 
Train Positive Acc: 0/18074 (0.00%) 
Test Positive Acc:  0/63714 (0.00%) 
Train Negative Acc: 52766/52766 (100.00%) 
Test Negative Acc:  14210/14210 (100.00%) 

Epoch 005
Loss: 0.3932 
Train Acc: 52766/70840 (74.49%) 
Test Acc:  14210/77924 (18.24%) 
Train Positive Acc: 0/18074 (0.00%) 
Test Positive Acc:  0/63714 (0.00%) 
Train Negative Acc: 52766/52766 (100.00%) 
Test Negative Acc:  14210/14210 (100.00%) 

"
